th3_cms_lab bin centers    value    Error 
 1.378790e-03   0.000000e+00   0.000000e+00
 1.379410e-03   0.000000e+00   0.000000e+00
 1.380030e-03   0.000000e+00   0.000000e+00
 1.380650e-03   0.000000e+00   0.000000e+00
 1.381270e-03   0.000000e+00   0.000000e+00
 1.381890e-03   0.000000e+00   0.000000e+00
 1.382510e-03   0.000000e+00   0.000000e+00
 1.383130e-03   0.000000e+00   0.000000e+00
 1.383750e-03   0.000000e+00   0.000000e+00
 1.384370e-03   0.000000e+00   0.000000e+00
 1.384990e-03   0.000000e+00   0.000000e+00
 1.385610e-03   0.000000e+00   0.000000e+00
 1.386230e-03   0.000000e+00   0.000000e+00
 1.386850e-03   0.000000e+00   0.000000e+00
 1.387470e-03   0.000000e+00   0.000000e+00
 1.388090e-03   0.000000e+00   0.000000e+00
 1.388710e-03   0.000000e+00   0.000000e+00
 1.389330e-03   0.000000e+00   0.000000e+00
 1.389950e-03   0.000000e+00   0.000000e+00
 1.390570e-03   0.000000e+00   0.000000e+00
 1.391190e-03   0.000000e+00   0.000000e+00
 1.391810e-03   0.000000e+00   0.000000e+00
 1.392430e-03   0.000000e+00   0.000000e+00
 1.393050e-03   0.000000e+00   0.000000e+00
 1.393670e-03   0.000000e+00   0.000000e+00
 1.394290e-03   0.000000e+00   0.000000e+00
 1.394910e-03   0.000000e+00   0.000000e+00
 1.395530e-03   0.000000e+00   0.000000e+00
 1.396150e-03   0.000000e+00   0.000000e+00
 1.396770e-03   0.000000e+00   0.000000e+00
 1.397390e-03   0.000000e+00   0.000000e+00
 1.398010e-03   0.000000e+00   0.000000e+00
 1.398630e-03   0.000000e+00   0.000000e+00
 1.399250e-03   0.000000e+00   0.000000e+00
 1.399870e-03   0.000000e+00   0.000000e+00
 1.400490e-03   0.000000e+00   0.000000e+00
 1.401110e-03   0.000000e+00   0.000000e+00
 1.401730e-03   0.000000e+00   0.000000e+00
 1.402350e-03   0.000000e+00   0.000000e+00
 1.402970e-03   0.000000e+00   0.000000e+00
 1.403590e-03   0.000000e+00   0.000000e+00
 1.404210e-03   0.000000e+00   0.000000e+00
 1.404830e-03   0.000000e+00   0.000000e+00
 1.405450e-03   0.000000e+00   0.000000e+00
 1.406070e-03   0.000000e+00   0.000000e+00
 1.406690e-03   0.000000e+00   0.000000e+00
 1.407310e-03   0.000000e+00   0.000000e+00
 1.407930e-03   0.000000e+00   0.000000e+00
 1.408550e-03   0.000000e+00   0.000000e+00
 1.409170e-03   0.000000e+00   0.000000e+00
 1.409790e-03   0.000000e+00   0.000000e+00
 1.410410e-03   0.000000e+00   0.000000e+00
 1.411030e-03   0.000000e+00   0.000000e+00
 1.411650e-03   0.000000e+00   0.000000e+00
 1.412270e-03   0.000000e+00   0.000000e+00
 1.412890e-03   0.000000e+00   0.000000e+00
 1.413510e-03   0.000000e+00   0.000000e+00
 1.414130e-03   0.000000e+00   0.000000e+00
 1.414750e-03   0.000000e+00   0.000000e+00
 1.415370e-03   0.000000e+00   0.000000e+00
 1.415990e-03   0.000000e+00   0.000000e+00
 1.416610e-03   0.000000e+00   0.000000e+00
 1.417230e-03   0.000000e+00   0.000000e+00
 1.417850e-03   0.000000e+00   0.000000e+00
 1.418470e-03   0.000000e+00   0.000000e+00
 1.419090e-03   0.000000e+00   0.000000e+00
 1.419710e-03   0.000000e+00   0.000000e+00
 1.420330e-03   0.000000e+00   0.000000e+00
 1.420950e-03   0.000000e+00   0.000000e+00
 1.421570e-03   0.000000e+00   0.000000e+00
 1.422190e-03   0.000000e+00   0.000000e+00
