phi5_x_lab bin centers    value    Error 
 4.536000e-03   1.322511e-03   4.588749e-04
 4.584000e-03   1.860223e-03   6.087990e-04
 4.632000e-03   7.115984e-04   3.134926e-04
 4.680000e-03   1.127337e-03   3.492174e-04
 4.728000e-03   1.543929e-03   4.878114e-04
 4.776000e-03   2.450226e-04   1.188131e-04
 4.824000e-03   2.510954e-03   6.676080e-04
 4.872000e-03   3.495981e-03   1.135207e-03
 4.920000e-03   3.627211e-03   8.335801e-04
 4.968000e-03   1.128688e-03   4.006347e-04
 5.016000e-03   1.967029e-03   6.152884e-04
 5.064000e-03   1.298841e-03   4.147894e-04
 5.112000e-03   1.993731e-03   5.651512e-04
 5.160000e-03   1.650204e-03   5.524253e-04
 5.208000e-03   9.964232e-04   2.951116e-04
 5.256000e-03   8.542404e-04   3.947949e-04
 5.304000e-03   7.378827e-03   2.754140e-03
 5.352000e-03   1.597684e-03   4.243779e-04
 5.400000e-03   1.533139e-03   4.221695e-04
 5.448000e-03   5.998189e-03   1.937792e-03
 5.496000e-03   3.084133e-04   1.691038e-04
 5.544000e-03   1.532491e-03   4.233643e-04
 5.592000e-03   2.034708e-03   4.648991e-04
 5.640000e-03   6.142055e-04   1.671805e-04
 5.688000e-03   4.016179e-03   1.516917e-03
 5.736000e-03   2.857801e-03   8.951226e-04
 5.784000e-03   1.740405e-03   5.677060e-04
 5.832000e-03   5.726760e-03   2.160459e-03
 5.880000e-03   2.511359e-03   5.951826e-04
 5.928000e-03   3.986106e-03   9.025979e-04
 5.976000e-03   7.322730e-04   2.288290e-04
 6.024000e-03   5.647788e-04   2.446652e-04
 6.072000e-03   2.709568e-04   1.220592e-04
 6.120000e-03   1.593728e-03   6.224655e-04
 6.168000e-03   2.638059e-03   9.144029e-04
 6.216000e-03   1.800188e-03   5.540357e-04
 6.264000e-03   2.028857e-03   5.711297e-04
 6.312000e-03   1.318828e-03   5.609629e-04
 6.360000e-03   5.249050e-03   2.340777e-03
 6.408000e-03   3.810991e-03   8.973028e-04
 6.456000e-03   2.524405e-03   1.029589e-03
 6.504000e-03   1.558392e-03   5.502869e-04
 6.552000e-03   9.135135e-04   4.020404e-04
 6.600000e-03   1.607814e-03   5.606625e-04
 6.648000e-03   1.788824e-03   6.100472e-04
 6.696000e-03   7.773093e-04   3.000905e-04
 6.744000e-03   2.030804e-03   9.034441e-04
 6.792000e-03   8.264227e-04   2.758761e-04
 6.840000e-03   2.799751e-03   7.410150e-04
 6.888000e-03   1.952386e-03   5.291720e-04
 6.936000e-03   2.269935e-03   5.443895e-04
 6.984000e-03   2.637366e-03   7.355085e-04
 7.032000e-03   9.466307e-04   3.497788e-04
 7.080000e-03   8.850636e-04   3.464339e-04
 7.128000e-03   3.692956e-03   1.224875e-03
 7.176000e-03   2.197674e-03   9.711947e-04
 7.224000e-03   2.782005e-03   1.045553e-03
 7.272000e-03   1.421806e-03   4.457542e-04
 7.320000e-03   4.008570e-03   1.183075e-03
 7.368000e-03   1.009262e-04   5.869181e-05
 7.416000e-03   1.468549e-03   4.309761e-04
 7.464000e-03   7.743641e-04   3.591118e-04
 7.512000e-03   2.118026e-03   5.092422e-04
 7.560000e-03   8.182430e-03   2.940820e-03
 7.608000e-03   8.097231e-04   3.525596e-04
 7.656000e-03   3.237771e-03   7.790585e-04
 7.704000e-03   2.098489e-03   8.132792e-04
 7.752000e-03   1.843284e-03   5.856294e-04
 7.800000e-03   2.003955e-03   4.664458e-04
 7.848000e-03   1.902282e-03   8.165670e-04
 7.896000e-03   1.775845e-03   5.864400e-04
 7.944000e-03   2.189367e-03   6.685226e-04
 7.992000e-03   1.783332e-03   5.059259e-04
 8.040000e-03   2.541764e-03   6.525645e-04
 8.088000e-03   4.136256e-03   1.339007e-03
 8.136000e-03   1.877436e-03   5.372350e-04
 8.184000e-03   4.046953e-03   1.318952e-03
 8.232000e-03   2.360437e-03   7.517000e-04
 8.280000e-03   2.617237e-04   1.164521e-04
 8.328000e-03   1.011804e-03   4.838711e-04
 8.376000e-03   3.458872e-03   9.238385e-04
 8.424000e-03   1.962612e-03   7.807095e-04
 8.472000e-03   1.440794e-03   5.857481e-04
 8.520000e-03   2.435841e-03   7.791819e-04
 8.568000e-03   1.145959e-03   4.579207e-04
 8.616000e-03   1.434803e-03   5.003012e-04
 8.664000e-03   1.529363e-03   3.682153e-04
 8.712000e-03   1.592586e-03   4.946389e-04
 8.760000e-03   2.632604e-03   6.714165e-04
 8.808000e-03   3.608924e-03   1.103453e-03
 8.856000e-03   1.754776e-03   5.996547e-04
 8.904000e-03   1.957111e-03   7.134824e-04
 8.952000e-03   1.166282e-03   3.899149e-04
 9.000000e-03   1.566183e-03   6.609160e-04
 9.048000e-03   2.001903e-03   6.112046e-04
 9.096000e-03   2.932208e-03   8.447851e-04
 9.144000e-03   1.873864e-03   5.998581e-04
 9.192000e-03   1.575952e-03   5.354175e-04
 9.240000e-03   3.235690e-03   9.132507e-04
 9.288000e-03   5.771971e-04   2.285149e-04
 9.336000e-03   8.730415e-04   3.388208e-04
 9.384000e-03   1.607450e-03   3.915059e-04
 9.432000e-03   5.124599e-03   2.554652e-03
 9.480000e-03   2.290136e-03   5.901711e-04
 9.528000e-03   1.278230e-03   5.196317e-04
