y5lab bin centers    value    Error 
-3.250000e-01   0.000000e+00   0.000000e+00
-3.230000e-01   0.000000e+00   0.000000e+00
-3.210000e-01   0.000000e+00   0.000000e+00
-3.190000e-01   0.000000e+00   0.000000e+00
-3.170000e-01   0.000000e+00   0.000000e+00
-3.150000e-01   0.000000e+00   0.000000e+00
-3.130000e-01   0.000000e+00   0.000000e+00
-3.110000e-01   0.000000e+00   0.000000e+00
-3.090000e-01   0.000000e+00   0.000000e+00
-3.070000e-01   0.000000e+00   0.000000e+00
-3.050000e-01   0.000000e+00   0.000000e+00
-3.030000e-01   0.000000e+00   0.000000e+00
-3.010000e-01   0.000000e+00   0.000000e+00
-2.990000e-01   0.000000e+00   0.000000e+00
-2.970000e-01   0.000000e+00   0.000000e+00
-2.950000e-01   0.000000e+00   0.000000e+00
-2.930000e-01   0.000000e+00   0.000000e+00
-2.910000e-01   0.000000e+00   0.000000e+00
-2.890000e-01   0.000000e+00   0.000000e+00
-2.870000e-01   0.000000e+00   0.000000e+00
-2.850000e-01   0.000000e+00   0.000000e+00
-2.830000e-01   0.000000e+00   0.000000e+00
-2.810000e-01   0.000000e+00   0.000000e+00
-2.790000e-01   0.000000e+00   0.000000e+00
-2.770000e-01   0.000000e+00   0.000000e+00
-2.750000e-01   0.000000e+00   0.000000e+00
-2.730000e-01   0.000000e+00   0.000000e+00
-2.710000e-01   0.000000e+00   0.000000e+00
-2.690000e-01   0.000000e+00   0.000000e+00
-2.670000e-01   0.000000e+00   0.000000e+00
-2.650000e-01   0.000000e+00   0.000000e+00
-2.630000e-01   0.000000e+00   0.000000e+00
-2.610000e-01   0.000000e+00   0.000000e+00
-2.590000e-01   0.000000e+00   0.000000e+00
-2.570000e-01   0.000000e+00   0.000000e+00
-2.550000e-01   0.000000e+00   0.000000e+00
-2.530000e-01   0.000000e+00   0.000000e+00
-2.510000e-01   0.000000e+00   0.000000e+00
-2.490000e-01   0.000000e+00   0.000000e+00
-2.470000e-01   0.000000e+00   0.000000e+00
-2.450000e-01   0.000000e+00   0.000000e+00
-2.430000e-01   0.000000e+00   0.000000e+00
-2.410000e-01   0.000000e+00   0.000000e+00
-2.390000e-01   0.000000e+00   0.000000e+00
-2.370000e-01   0.000000e+00   0.000000e+00
-2.350000e-01   0.000000e+00   0.000000e+00
-2.330000e-01   0.000000e+00   0.000000e+00
-2.310000e-01   0.000000e+00   0.000000e+00
-2.290000e-01   0.000000e+00   0.000000e+00
-2.270000e-01   0.000000e+00   0.000000e+00
-2.250000e-01   0.000000e+00   0.000000e+00
